Street, House Numbers,Assessed Values, Adjusted Values,Assessed Differences, Discrepancies (%)
North Haven Dr,5232,"$478,500.00","$478,761.70",-$261.71,-0.05
North Haven Dr,5220,"$500,500.00","$497,957.00","$2,543.00",0.51
North Haven Dr,5208,"$508,000.00","$482,468.60","$25,531.36",5.03
North Haven Dr,5228,"$525,500.00","$510,802.80","$14,697.21",2.8
North Haven Dr,5212,"$480,000.00","$513,628.90","-$33,628.87",-7.01
North Haven Dr,5216,"$527,500.00","$508,270.30","$19,229.66",3.65
North Haven Dr,5204,"$460,500.00","$479,165.40","-$18,665.44",-4.05
North Haven Dr,5224,"$469,500.00","$478,945.20","-$9,445.22",-2.01
Rockbluff Cl NW 1,55,"$499,000.00","$530,465.10","-$31,465.14",-6.31
Rockbluff Cl NW 1,83,"$491,000.00","$494,777.20","-$3,777.16",-0.77
Rockbluff Cl NW 1,71,"$559,000.00","$528,633.60","$30,366.36",5.43
Rockbluff Cl NW 1,75,"$445,500.00","$457,310.00","-$11,810.02",-2.65
Rockbluff Cl NW 1,67,"$493,500.00","$503,934.60","-$10,434.63",-2.11
Rockbluff Cl NW 1,87,"$456,500.00","$484,730.10","-$28,230.11",-6.18
Rockbluff Cl NW 1,63,"$479,500.00","$469,345.60","$10,154.44",2.12
Rockbluff Cl NW 1,91,"$567,500.00","$584,572.70","-$17,072.71",-3.01
Rockbluff Cl NW 1,59,"$566,500.00","$536,744.50","$29,755.45",5.25
Rockbluff Cl NW 1,79,"$527,500.00","$494,986.50","$32,513.52",6.16
Rockyledge Ri NW 1,46,"$522,500.00","$561,729.00","-$39,229.01",-7.51
Rockyledge Ri NW 1,74,"$532,500.00","$529,734.00","$2,765.99",0.52
Rockyledge Ri NW 1,30,"$593,500.00","$612,387.80","-$18,887.78",-3.18
Rockyledge Ri NW 1,62,"$600,000.00","$561,424.30","$38,575.70",6.43
Rockyledge Ri NW 1,26,"$652,500.00","$707,306.30","-$54,806.30",-8.4
Rockyledge Ri NW 1,66,"$573,500.00","$576,736.20","-$3,236.20",-0.56
